time	V(n001)	V(n002)	I(R1)
0.000000000000000e+000	-2.000000e+000	-4.999875e-005	-4.999875e-002
1.000000000000000e-004	-2.000000e+000	-4.999875e-005	-4.999875e-002
1.010000000000000e-004	2.000000e+000	3.999782e+000	-4.999454e-002
8.386857142857145e-004	2.000000e+000	3.763260e+000	-4.408149e-002
1.576371428571429e-003	2.000000e+000	3.538974e+000	-3.847436e-002
2.314057142857144e-003	2.000000e+000	3.326926e+000	-3.317314e-002
3.051742857142858e-003	2.000000e+000	3.127114e+000	-2.817785e-002
3.789428571428573e-003	2.000000e+000	2.939539e+000	-2.348847e-002
4.527114285714288e-003	2.000000e+000	2.764200e+000	-1.910501e-002
5.264800000000000e-003	2.000000e+000	2.601099e+000	-1.502747e-002
5.679085714285715e-003	2.000000e+000	2.513072e+000	-1.282679e-002
6.093371428571430e-003	2.000000e+000	2.427796e+000	-1.069489e-002
6.507657142857145e-003	2.000000e+000	2.345271e+000	-8.631772e-003
6.921942857142861e-003	2.000000e+000	2.265498e+000	-6.637437e-003
7.336228571428576e-003	2.000000e+000	2.188475e+000	-4.711884e-003
7.750514285714291e-003	2.000000e+000	2.114205e+000	-2.855114e-003
8.164800000000005e-003	2.000000e+000	2.042685e+000	-1.067126e-003
8.264800000000004e-003	2.000000e+000	2.025733e+000	-6.433325e-004
8.364800000000004e-003	2.000000e+000	2.008922e+000	-2.230558e-004
8.464800000000003e-003	2.000000e+000	1.992251e+000	1.937331e-004
8.564800000000003e-003	2.000000e+000	1.975718e+000	6.070630e-004
8.764800000000001e-003	2.000000e+000	1.943062e+000	1.423461e-003
9.064800000000000e-003	2.000000e+000	1.895087e+000	2.622825e-003
9.650514285714283e-003	2.000000e+000	1.805285e+000	4.867871e-003
1.023622857142856e-002	2.000000e+000	1.719300e+000	7.017505e-003
1.082194285714285e-002	2.000000e+000	1.637131e+000	9.071725e-003
1.140765714285713e-002	2.000000e+000	1.558779e+000	1.103053e-002
1.199337142857141e-002	2.000000e+000	1.484243e+000	1.289393e-002
1.257908571428569e-002	2.000000e+000	1.413524e+000	1.466191e-002
1.316479999999998e-002	2.000000e+000	1.346621e+000	1.633448e-002
1.423622857142854e-002	2.000000e+000	1.233436e+000	1.916410e-002
1.530765714285711e-002	2.000000e+000	1.128179e+000	2.179553e-002
1.637908571428567e-002	2.000000e+000	1.030849e+000	2.422878e-002
1.745051428571424e-002	2.000000e+000	9.414462e-001	2.646384e-002
1.852194285714280e-002	2.000000e+000	8.599712e-001	2.850072e-002
1.959337142857137e-002	2.000000e+000	7.864236e-001	3.033941e-002
2.066479999999993e-002	2.000000e+000	7.208035e-001	3.197991e-002
2.176479999999992e-002	2.000000e+000	6.587270e-001	3.353182e-002
2.286479999999992e-002	2.000000e+000	6.010881e-001	3.497280e-002
2.396479999999991e-002	2.000000e+000	5.478868e-001	3.630283e-002
2.506479999999991e-002	2.000000e+000	4.991231e-001	3.752192e-002
2.616479999999990e-002	2.000000e+000	4.547969e-001	3.863008e-002
2.726479999999990e-002	2.000000e+000	4.149084e-001	3.962729e-002
2.836479999999989e-002	2.000000e+000	3.794575e-001	4.051356e-002
2.946479999999990e-002	2.000000e+000	3.467802e-001	4.133050e-002
3.056479999999992e-002	2.000000e+000	3.164388e-001	4.208903e-002
3.166479999999994e-002	2.000000e+000	2.884334e-001	4.278916e-002
3.276479999999996e-002	2.000000e+000	2.627640e-001	4.343090e-002
3.386479999999997e-002	2.000000e+000	2.394306e-001	4.401423e-002
3.496479999999999e-002	2.000000e+000	2.184331e-001	4.453917e-002
3.606480000000001e-002	2.000000e+000	1.997716e-001	4.500571e-002
3.716480000000004e-002	2.000000e+000	1.825701e-001	4.543575e-002
3.826480000000007e-002	2.000000e+000	1.665983e-001	4.583504e-002
3.936480000000010e-002	2.000000e+000	1.518562e-001	4.620360e-002
4.046480000000013e-002	2.000000e+000	1.383437e-001	4.654141e-002
4.156480000000017e-002	2.000000e+000	1.260609e-001	4.684848e-002
4.266480000000020e-002	2.000000e+000	1.150077e-001	4.712481e-002
4.376480000000023e-002	2.000000e+000	1.051842e-001	4.737040e-002
4.487908571428598e-002	2.000000e+000	9.602071e-002	4.759948e-002
4.599337142857173e-002	2.000000e+000	8.751882e-002	4.781203e-002
4.710765714285747e-002	2.000000e+000	7.967855e-002	4.800804e-002
4.822194285714321e-002	2.000000e+000	7.249992e-002	4.818750e-002
4.933622857142896e-002	2.000000e+000	6.598291e-002	4.835043e-002
5.045051428571471e-002	2.000000e+000	6.012753e-002	4.849681e-002
5.156480000000045e-002	2.000000e+000	5.493378e-002	4.862665e-002
5.269337142857191e-002	2.000000e+000	5.009354e-002	4.874766e-002
5.382194285714338e-002	2.000000e+000	4.560622e-002	4.885984e-002
5.495051428571483e-002	2.000000e+000	4.147183e-002	4.896321e-002
5.607908571428630e-002	2.000000e+000	3.769036e-002	4.905774e-002
5.720765714285776e-002	2.000000e+000	3.426181e-002	4.914346e-002
5.833622857142922e-002	2.000000e+000	3.118619e-002	4.922035e-002
5.946480000000068e-002	2.000000e+000	2.846350e-002	4.928841e-002
6.010100000000000e-002	2.000000e+000	2.699583e-002	4.932510e-002
6.010200000000000e-002	-2.000000e+000	-3.972838e+000	4.932095e-002
6.083968571428559e-002	-2.000000e+000	-3.737909e+000	4.344773e-002
6.157737142857118e-002	-2.000000e+000	-3.515135e+000	3.787837e-002
6.231505714285678e-002	-2.000000e+000	-3.304515e+000	3.261287e-002
