time	V(N003,N002)	V(n001)	V(n003)	I(R1)
0.000000000000000e+000	2.000000e+000	6.000000e-019	2.000000e+000	6.000000e-016
1.000000000000000e-004	2.000000e+000	-9.477400e-016	2.000000e+000	5.998927e-016
1.000314105955646e-004	2.000000e+000	-1.256416e-001	1.874358e+000	-4.753085e-009
1.000628211911292e-004	2.000000e+000	-2.512816e-001	1.748715e+000	-1.977067e-008
1.000942317866938e-004	2.000000e+000	-3.769199e-001	1.623073e+000	-4.505276e-008
1.001256423822584e-004	2.000000e+000	-5.025566e-001	1.497431e+000	-8.059936e-008
1.001570529778230e-004	2.000000e+000	-6.281917e-001	1.371788e+000	-1.264105e-007
1.001884635733876e-004	2.000000e+000	-7.538251e-001	1.246146e+000	-1.824861e-007
1.002198741689522e-004	2.000000e+000	-8.794569e-001	1.120503e+000	-2.488262e-007
1.004331405673571e-004	2.000000e+000	-1.732427e+000	2.674377e-001	-8.440346e-007
1.005734672031902e-004	2.000000e+000	-2.293643e+000	-2.938688e-001	-1.412843e-006
1.007193467283337e-004	2.000000e+000	-2.877028e+000	-8.773869e-001	-2.241205e-006
1.010000000000000e-004	2.000000e+000	-3.999333e+000	-2.000000e+000	-4.166223e-006
1.338404421174097e-004	1.999980e+000	-3.955846e+000	-2.000000e+000	-2.758376e-004
1.666808842348194e-004	1.999925e+000	-3.912892e+000	-2.000000e+000	-5.439538e-004
1.995213263522291e-004	1.999834e+000	-3.870471e+000	-2.000000e+000	-8.085149e-004
2.323617684696388e-004	1.999707e+000	-3.828584e+000	-2.000000e+000	-1.069521e-003
2.652022105870485e-004	1.999546e+000	-3.787230e+000	-2.000000e+000	-1.326972e-003
2.980426527044582e-004	1.999348e+000	-3.746409e+000	-2.000000e+000	-1.580868e-003
3.308830948218678e-004	1.999116e+000	-3.706122e+000	-2.000000e+000	-1.831208e-003
5.607942549709023e-004	1.996679e+000	-3.436355e+000	-2.000000e+000	-3.502020e-003
9.607942549709023e-004	1.989851e+000	-3.006402e+000	-2.000000e+000	-6.146557e-003
1.360794254970902e-003	1.980093e+000	-2.621454e+000	-2.000000e+000	-8.491492e-003
1.760794254970902e-003	1.967409e+000	-2.281883e+000	-2.000000e+000	-1.053454e-002
2.160794254970902e-003	1.952178e+000	-1.982370e+000	-2.000000e+000	-1.231130e-002
2.560794254970902e-003	1.934735e+000	-1.718222e+000	-2.000000e+000	-1.385321e-002
2.960794254970903e-003	1.915375e+000	-1.485296e+000	-2.000000e+000	-1.518799e-002
3.360794254970903e-003	1.894356e+000	-1.279931e+000	-2.000000e+000	-1.634016e-002
3.760794254970903e-003	1.871908e+000	-1.098897e+000	-2.000000e+000	-1.733132e-002
4.160794254970903e-003	1.848233e+000	-9.393419e-001	-2.000000e+000	-1.818057e-002
4.560794254970903e-003	1.823510e+000	-7.987481e-001	-2.000000e+000	-1.890476e-002
4.960794254970903e-003	1.797894e+000	-6.748923e-001	-2.000000e+000	-1.951876e-002
5.360794254970903e-003	1.771525e+000	-5.658118e-001	-2.000000e+000	-2.003571e-002
5.760794254970903e-003	1.744523e+000	-4.697735e-001	-2.000000e+000	-2.046718e-002
6.160794254970904e-003	1.716996e+000	-3.852477e-001	-2.000000e+000	-2.082342e-002
6.560794254970904e-003	1.689038e+000	-3.108838e-001	-2.000000e+000	-2.111346e-002
6.960794254970904e-003	1.660732e+000	-2.454893e-001	-2.000000e+000	-2.134527e-002
7.360794254970904e-003	1.632151e+000	-1.880114e-001	-2.000000e+000	-2.152587e-002
7.760794254970904e-003	1.603359e+000	-1.375206e-001	-2.000000e+000	-2.166149e-002
8.160794254970905e-003	1.574413e+000	-9.319625e-002	-2.000000e+000	-2.175761e-002
8.560794254970904e-003	1.545362e+000	-5.431403e-002	-2.000000e+000	-2.181905e-002
8.960794254970903e-003	1.516250e+000	-2.023429e-002	-2.000000e+000	-2.185010e-002
9.360794254970902e-003	1.487113e+000	9.607639e-003	-2.000000e+000	-2.185450e-002
9.760794254970902e-003	1.457986e+000	3.571027e-002	-2.000000e+000	-2.183560e-002
1.016079425497090e-002	1.428898e+000	5.851372e-002	-2.000000e+000	-2.179633e-002
1.056079425497090e-002	1.399875e+000	7.840652e-002	-2.000000e+000	-2.173926e-002
1.096079425497090e-002	1.370937e+000	9.573171e-002	-2.000000e+000	-2.166668e-002
1.136079425497090e-002	1.342106e+000	1.107921e-001	-2.000000e+000	-2.158061e-002
1.176079425497090e-002	1.313397e+000	1.238550e-001	-2.000000e+000	-2.148283e-002
1.216079425497090e-002	1.284825e+000	1.351566e-001	-2.000000e+000	-2.137488e-002
1.256079425497090e-002	1.256403e+000	1.449050e-001	-2.000000e+000	-2.125818e-002
1.296079425497090e-002	1.228142e+000	1.532843e-001	-2.000000e+000	-2.113391e-002
1.336079425497090e-002	1.200050e+000	1.604568e-001	-2.000000e+000	-2.100317e-002
1.376079425497090e-002	1.172137e+000	1.665659e-001	-2.000000e+000	-2.086689e-002
1.456079425497089e-002	1.116870e+000	1.760850e-001	-2.000000e+000	-2.058097e-002
1.536079425497089e-002	1.062385e+000	1.826862e-001	-2.000000e+000	-2.028169e-002
1.616079425497089e-002	1.008711e+000	1.870273e-001	-2.000000e+000	-1.997336e-002
1.736079425497090e-002	9.297595e-001	1.903911e-001	-2.000000e+000	-1.950094e-002
1.821793711211376e-002	8.745455e-001	1.906528e-001	-2.000000e+000	-1.915749e-002
1.907507996925662e-002	8.202924e-001	1.903776e-001	-2.000000e+000	-1.881669e-002
1.993222282639948e-002	7.670001e-001	1.895657e-001	-2.000000e+000	-1.847854e-002
2.078936568354234e-002	7.146687e-001	1.882170e-001	-2.000000e+000	-1.814304e-002
2.164650854068520e-002	6.632982e-001	1.863314e-001	-2.000000e+000	-1.781019e-002
2.250365139782806e-002	6.128886e-001	1.839091e-001	-2.000000e+000	-1.747999e-002
2.336079425497091e-002	5.634398e-001	1.809499e-001	-2.000000e+000	-1.715244e-002
2.576079425497091e-002	4.305910e-001	1.725388e-001	-2.000000e+000	-1.626956e-002
2.816079425497091e-002	3.038493e-001	1.643366e-001	-2.000000e+000	-1.542616e-002
3.056079425497090e-002	1.832149e-001	1.563432e-001	-2.000000e+000	-1.462224e-002
3.296079425497089e-002	6.868768e-002	1.485586e-001	-2.000000e+000	-1.385779e-002
3.536079425497089e-002	-3.973228e-002	1.409829e-001	-2.000000e+000	-1.313282e-002
3.776079425497089e-002	-1.420450e-001	1.336160e-001	-2.000000e+000	-1.244732e-002
4.016079425497088e-002	-2.382505e-001	1.264579e-001	-2.000000e+000	-1.180130e-002
4.421793711211371e-002	-3.883345e-001	1.156903e-001	-2.000000e+000	-1.079597e-002
4.827507996925655e-002	-5.277875e-001	1.056844e-001	-2.000000e+000	-9.861856e-003
5.233222282639938e-002	-6.566096e-001	9.644018e-002	-2.000000e+000	-8.998941e-003
5.638936568354221e-002	-7.748007e-001	8.795770e-002	-2.000000e+000	-8.207232e-003
6.044650854068505e-002	-8.823608e-001	8.023693e-002	-2.000000e+000	-7.486726e-003
6.450365139782788e-002	-9.792900e-001	7.327787e-002	-2.000000e+000	-6.837424e-003
6.856079425497071e-002	-1.065588e+000	6.708052e-002	-2.000000e+000	-6.259327e-003
7.261793711211353e-002	-1.145191e+000	6.136590e-002	-2.000000e+000	-5.726092e-003
7.667507996925638e-002	-1.219156e+000	5.605606e-002	-2.000000e+000	-5.230628e-003
8.073222282639921e-002	-1.287481e+000	5.115101e-002	-2.000000e+000	-4.772935e-003
8.478936568354203e-002	-1.350169e+000	4.665076e-002	-2.000000e+000	-4.353013e-003
8.884650854068488e-002	-1.407217e+000	4.255529e-002	-2.000000e+000	-3.970862e-003
9.290365139782771e-002	-1.458628e+000	3.886461e-002	-2.000000e+000	-3.626482e-003
9.696079425497053e-002	-1.504399e+000	3.557872e-002	-2.000000e+000	-3.319873e-003
1.010179371121134e-001	-1.546619e+000	3.254775e-002	-2.000000e+000	-3.037052e-003
1.050750799692562e-001	-1.585849e+000	2.973147e-002	-2.000000e+000	-2.774263e-003
1.091322228263990e-001	-1.622089e+000	2.712989e-002	-2.000000e+000	-2.531508e-003
1.131893656835419e-001	-1.655337e+000	2.474301e-002	-2.000000e+000	-2.308786e-003
1.172465085406847e-001	-1.685595e+000	2.257082e-002	-2.000000e+000	-2.106098e-003
1.213036513978276e-001	-1.712862e+000	2.061333e-002	-2.000000e+000	-1.923443e-003
1.253607942549704e-001	-1.737139e+000	1.887053e-002	-2.000000e+000	-1.760822e-003
1.294179371121134e-001	-1.759532e+000	1.726294e-002	-2.000000e+000	-1.610816e-003
1.334750799692563e-001	-1.780339e+000	1.576922e-002	-2.000000e+000	-1.471436e-003
1.375322228263993e-001	-1.799560e+000	1.438938e-002	-2.000000e+000	-1.342682e-003
1.415893656835423e-001	-1.817195e+000	1.312340e-002	-2.000000e+000	-1.224553e-003
