time	V(n001)	V(n002)	I(R1)
0.000000000000000e+000	-2.000000e+000	-2.000000e+000	-5.939693e-016
1.000000000000000e-004	-2.000000e+000	-2.000000e+000	-5.606626e-016
1.010000000000000e-004	2.000000e+000	-1.999832e+000	9.999579e-002
8.386857142857145e-004	2.000000e+000	-1.763309e+000	9.408273e-002
1.576371428571429e-003	2.000000e+000	-1.539023e+000	8.847559e-002
2.314057142857144e-003	2.000000e+000	-1.326974e+000	8.317435e-002
3.051742857142858e-003	2.000000e+000	-1.127161e+000	7.817903e-002
3.789428571428573e-003	2.000000e+000	-9.395850e-001	7.348962e-002
4.527114285714288e-003	2.000000e+000	-7.642452e-001	6.910613e-002
5.264800000000000e-003	2.000000e+000	-6.011419e-001	6.502855e-002
5.679085714285715e-003	2.000000e+000	-5.131136e-001	6.282784e-002
6.093371428571430e-003	2.000000e+000	-4.278366e-001	6.069592e-002
6.507657142857145e-003	2.000000e+000	-3.453108e-001	5.863277e-002
6.921942857142861e-003	2.000000e+000	-2.655363e-001	5.663841e-002
7.336228571428576e-003	2.000000e+000	-1.885131e-001	5.471283e-002
7.750514285714291e-003	2.000000e+000	-1.142411e-001	5.285603e-002
8.164800000000005e-003	2.000000e+000	-4.272044e-002	5.106801e-002
8.364800000000004e-003	2.000000e+000	-8.957042e-003	5.022392e-002
8.464800000000003e-003	2.000000e+000	7.714801e-003	4.980713e-002
8.664800000000002e-003	2.000000e+000	4.064457e-002	4.898389e-002
8.964800000000000e-003	2.000000e+000	8.902150e-002	4.777446e-002
9.536228571428568e-003	2.000000e+000	1.774414e-001	4.556397e-002
1.010765714285714e-002	2.000000e+000	2.621834e-001	4.344542e-002
1.067908571428571e-002	2.000000e+000	3.432477e-001	4.141881e-002
1.125051428571427e-002	2.000000e+000	4.206341e-001	3.948415e-002
1.182194285714284e-002	2.000000e+000	4.943428e-001	3.764143e-002
1.239337142857141e-002	2.000000e+000	5.643736e-001	3.589066e-002
1.296479999999998e-002	2.000000e+000	6.307267e-001	3.423183e-002
1.402194285714283e-002	2.000000e+000	7.443928e-001	3.139018e-002
1.507908571428568e-002	2.000000e+000	8.501808e-001	2.874548e-002
1.613622857142853e-002	2.000000e+000	9.480908e-001	2.629773e-002
1.719337142857138e-002	2.000000e+000	1.038123e+000	2.404693e-002
1.825051428571423e-002	2.000000e+000	1.120277e+000	2.199308e-002
1.930765714285709e-002	2.000000e+000	1.194553e+000	2.013619e-002
2.036479999999993e-002	2.000000e+000	1.260950e+000	1.847624e-002
2.145051428571421e-002	2.000000e+000	1.323836e+000	1.690410e-002
2.253622857142849e-002	2.000000e+000	1.382272e+000	1.544321e-002
2.362194285714277e-002	2.000000e+000	1.436257e+000	1.409357e-002
2.470765714285705e-002	2.000000e+000	1.485793e+000	1.285518e-002
2.579337142857133e-002	2.000000e+000	1.530878e+000	1.172804e-002
2.687908571428561e-002	2.000000e+000	1.571514e+000	1.071215e-002
2.796479999999989e-002	2.000000e+000	1.607700e+000	9.807513e-003
2.905051428571419e-002	2.000000e+000	1.641080e+000	8.972993e-003
3.013622857142849e-002	2.000000e+000	1.672099e+000	8.197526e-003
3.122194285714279e-002	2.000000e+000	1.700755e+000	7.481114e-003
3.230765714285709e-002	2.000000e+000	1.727050e+000	6.823754e-003
3.339337142857139e-002	2.000000e+000	1.750982e+000	6.225449e-003
3.447908571428569e-002	2.000000e+000	1.772552e+000	5.686198e-003
3.556479999999999e-002	2.000000e+000	1.791760e+000	5.206000e-003
3.665051428571431e-002	2.000000e+000	1.809479e+000	4.763022e-003
3.773622857142863e-002	2.000000e+000	1.825944e+000	4.351390e-003
3.882194285714295e-002	2.000000e+000	1.841156e+000	3.971106e-003
3.990765714285726e-002	2.000000e+000	1.855113e+000	3.622168e-003
4.099337142857158e-002	2.000000e+000	1.867817e+000	3.304577e-003
4.207908571428590e-002	2.000000e+000	1.879267e+000	3.018333e-003
4.316480000000021e-002	2.000000e+000	1.889463e+000	2.763436e-003
4.425051428571453e-002	2.000000e+000	1.898868e+000	2.528295e-003
4.533622857142885e-002	2.000000e+000	1.907608e+000	2.309794e-003
4.642194285714316e-002	2.000000e+000	1.915683e+000	2.107932e-003
4.750765714285748e-002	2.000000e+000	1.923092e+000	1.922710e-003
4.859337142857180e-002	2.000000e+000	1.929835e+000	1.754127e-003
4.967908571428611e-002	2.000000e+000	1.935913e+000	1.602184e-003
5.076480000000043e-002	2.000000e+000	1.941325e+000	1.466880e-003
5.185051428571474e-002	2.000000e+000	1.946317e+000	1.342063e-003
5.293622857142907e-002	2.000000e+000	1.950957e+000	1.226079e-003
5.402194285714338e-002	2.000000e+000	1.955243e+000	1.118927e-003
5.510765714285770e-002	2.000000e+000	1.959176e+000	1.020608e-003
5.619337142857202e-002	2.000000e+000	1.962755e+000	9.311215e-004
5.727908571428633e-002	2.000000e+000	1.965981e+000	8.504673e-004
5.836480000000065e-002	2.000000e+000	1.968854e+000	7.786456e-004
5.861282857142913e-002	2.000000e+000	1.969491e+000	7.627349e-004
5.886085714285760e-002	2.000000e+000	1.970115e+000	7.471326e-004
5.910888571428608e-002	2.000000e+000	1.970726e+000	7.318387e-004
5.935691428571456e-002	2.000000e+000	1.971326e+000	7.168532e-004
5.960494285714304e-002	2.000000e+000	1.971913e+000	7.021760e-004
5.985297142857152e-002	2.000000e+000	1.972488e+000	6.878073e-004
6.010100000000000e-002	2.000000e+000	1.973050e+000	6.737469e-004
6.010200000000000e-002	-2.000000e+000	1.972884e+000	-9.932210e-002
6.083968571428559e-002	-2.000000e+000	1.737955e+000	-9.344888e-002
6.157737142857118e-002	-2.000000e+000	1.515180e+000	-8.787951e-002
6.231505714285678e-002	-2.000000e+000	1.304560e+000	-8.261399e-002
